level,safety_pagerank,harmful_pagerank,safety_in_degree,harmful_in_degree,safety_out_degree,harmful_out_degree,safety_to_harmful,harmful_to_safety,pagerank_ratio
1,0.07748647171546201,0.03691220278247948,1.5454545454545454,0.0,1.1818181818181819,1.0,0.0,0.06791548295454546,0.47636964189084186
2,0.011011488557790373,0.0020827548490564983,5.235294117647059,0.0,1.3137254901960784,1.25,0.0,0.014951518937653186,0.1891438054106679
3,0.00743511680718915,0.0011186084763100581,6.916666666666667,0.06666666666666667,1.3333333333333333,1.3333333333333333,0.0,0.009553584346064814,0.15044934804903876
4,0.0052101735160019,0.0007914782390151023,6.844660194174757,0.07142857142857142,1.3398058252427185,1.3928571428571428,0.0,0.006409749574700936,0.15191014974534942
5,0.0047789327494784746,0.0007160477204886691,6.964285714285714,0.08333333333333333,1.3392857142857142,1.4166666666666667,0.0,0.005791785225035652,0.14983423245845245
6,0.004390935104064153,0.0006613572743669753,6.934426229508197,0.06818181818181818,1.319672131147541,1.4318181818181819,0.0,0.005322690869941086,0.1506187767965046
