level,safety_pagerank,harmful_pagerank,safety_in_degree,harmful_in_degree,safety_out_degree,harmful_out_degree,safety_to_harmful,harmful_to_safety,pagerank_ratio
1,0.09559385928617142,0.04655175547481892,1.4444444444444444,0.0,1.1111111111111112,1.0,0.0,0.07378472222222222,0.48697432892065573
2,0.09977646056233448,0.0,1.3333333333333333,0.0,1.1111111111111112,0.0,0.0,0.0,0.0
3,0.11362232221721633,0.05116093611987141,1.5714285714285714,0.0,1.0,1.0,0.0,0.10993303571428571,0.450271875468845
4,0.1031027059622366,0.03975443689490624,2.142857142857143,0.0,1.1428571428571428,1.0,0.0,0.11300223214285714,0.3855809265516958
5,0.0774567830724988,0.0,1.4545454545454546,0.0,1.0909090909090908,0.0,0.0,0.0,0.0
